Municipio,ÓbtP/Ocor,Saneat,PibPerCapita,PrpBxRnd,RndMdDom,TxAnalf,PopEst
PEDRAS ALTAS,0,2197,52,4,442,10,2074
PEDRO OSORIO,1,7756,77,80,541,8,7660
PEJUCARA,0,3955,28,36,694,4,3806
PELOTAS,38,326528,15,72,870,4,336477
PICADA CAFE,1,5151,85,83,786,2,5445
PINHAL,1,2509,38,33,619,8,2973
PINHAL DA SERRA,0,2129,90,87,398,8,2268
PINHAL GRANDE,0,4447,77,58,496,7,3889
PINHEIRINHO DO VALE,1,4466,72,70,668,9,4620
PINHEIRO MACHADO,2,12708,60,21,555,9,11511
PINTO BANDEIRA,0,-,43,0,...,...,2754
PIRAPO,0,2744,53,73,473,12,2267
PIRATINI,5,19776,16,92,504,11,17974
PLANALTO,5,10468,42,11,517,11,10632
POCO DAS ANTAS,0,2017,73,62,806,2,2186
PONTAO,0,3841,23,83,636,5,3353
PONTE PRETA,0,1747,59,92,735,5,1582
PORTAO,4,30698,67,85,707,4,34993
PORTO ALEGRE,347,1394176,64,75,1722,2,1405685
PORTO LUCENA,0,5372,41,66,614,8,4476
PORTO MAUA,0,2523,85,63,516,6,2182
PORTO VERA CRUZ,0,1834,78,0,488,7,1579
PORTO XAVIER,0,10520,4,86,568,11,10182
POUSO NOVO,0,1861,52,87,934,9,1754
PRESIDENTE LUCENA,0,2476,81,21,729,3,3091
PROGRESSO,0,6151,70,62,642,8,5480
PROTASIO ALVES,0,1997,13,10,972,6,2035
PUTINGA,0,4131,23,22,808,8,3828
QUARAI,1,22869,25,26,515,4,23963
QUATRO IRMAOS,0,1774,94,76,585,9,1555
QUEVEDOS,0,2697,22,72,500,10,2537
QUINZE DE NOVEMBRO,0,3643,70,44,1040,4,3976
REDENTORA,2,10211,68,34,325,15,9938
RELVADO,0,2147,49,30,928,3,1827
RESTINGA SECA,2,15750,26,72,641,6,15290
RIO DOS INDIOS,1,3584,23,87,434,14,2888
RIO GRANDE,49,195637,92,18,841,4,199430
RIO PARDO,7,37337,20,47,592,7,35921
RIOZINHO,0,4310,54,55,585,8,4546
ROCA SALES,1,10229,16,19,860,2,10626
RODEIO BONITO,0,5723,70,23,766,8,6753
ROLADOR,0,2539,10,38,526,7,2329
ROLANTE,4,19426,85,64,650,6,21609
RONDA ALTA,3,10127,99,38,738,7,10002
RONDINHA,2,5503,81,82,1018,3,5115
ROQUE GONZALES,1,7150,75,26,554,7,6740
ROSARIO DO SUL,7,39431,86,1,636,7,37963
SAGRADA FAMILIA,0,2586,88,58,503,14,2511
SALDANHA MARINHO,1,2856,69,36,818,4,2612
SALTO DO JACUI,1,11750,62,60,581,8,10494
SALVADOR DAS MISSOES,0,2656,92,44,662,1,2909
SALVADOR DO SUL,0,6652,1,71,851,2,7170
SANANDUVA,2,15334,51,66,927,5,16703
SANT'ANA DO LIVRAMENTO,21,82008,91,38,664,3,87149
SANTA BARBARA DO SUL,0,8809,66,68,678,7,8305
SANTA CECILIA DO SUL,0,1652,7,46,1027,5,1682
SANTA CLARA DO SUL,0,5636,60,86,833,3,6978
SANTA CRUZ DO SUL,14,117178,65,8,1011,2,136808
SANTA MARGARIDA DO SUL,0,2174,97,8,583,12,2630
SANTA MARIA,59,258736,16,7,1108,3,281841
SANTA MARIA DO HERVAL,0,6045,27,18,686,1,6462
SANTA ROSA,18,67983,10,9,856,3,78725
SANTA TEREZA,0,1713,91,27,903,3,1521
SANTA VITORIA DO PALMAR,17,30778,97,53,645,6,32007
SANTANA DA BOA VISTA,2,8221,64,70,394,14,7214
SANTIAGO,5,48671,88,77,822,4,50385
SANTO ANGELO,19,75625,39,58,928,4,79118
SANTO ANTONIO DA PATRULHA,8,39486,25,84,675,8,44145
SANTO ANTONIO DAS MISSOES,0,11141,76,31,511,9,10571
SANTO ANTONIO DO PALMA,0,2137,72,1,1020,6,2108
SANTO ANTONIO DO PLANALTO,0,1987,53,25,616,4,2111
SANTO AUGUSTO,3,13955,78,98,853,8,14226
SANTO CRISTO,1,14277,17,65,829,2,15594
SANTO EXPEDITO DO SUL,0,2459,36,63,512,7,2383
SAO BORJA,3,61235,87,39,682,6,61545
SAO DOMINGOS DO SUL,0,2914,97,58,1019,3,2806
SAO FRANCISCO DE ASSIS,3,19152,3,64,534,8,18078
SAO FRANCISCO DE PAULA,5,20173,21,49,617,6,22275
SAO GABRIEL,10,59507,25,76,661,8,60275
SAO JERONIMO,1,21901,82,76,756,8,21539
SAO JOAO DA URTIGA,0,4721,14,82,620,8,4559
SAO JOAO DO POLESINE,0,2588,10,26,839,3,2681
SAO JORGE,3,2769,9,2,848,3,2945
SAO JOSE DAS MISSOES,0,2717,82,38,460,10,2397
SAO JOSE DO HERVAL,0,2194,19,88,616,14,1924
SAO JOSE DO HORTENCIO,0,4093,22,44,693,1,4519
SAO JOSE DO INHACORA,0,2185,94,47,720,3,2432
SAO JOSE DO NORTE,3,25427,56,0,488,16,26275
SAO JOSE DO OURO,0,6889,65,21,875,5,6984
SAO JOSE DO SUL,0,2079,57,1,986,2,2396
SAO JOSE DOS AUSENTES,1,3269,62,1,503,7,4183
SAO LEOPOLDO,28,213102,75,41,925,3,225660
SAO LOURENCO DO SUL,1,42906,19,96,700,4,43434
SAO LUIZ GONZAGA,7,34174,45,56,693,6,35832
SAO MARCOS,4,20031,51,89,986,3,21491
SAO MARTINHO,1,5725,72,82,769,6,5594
SAO MARTINHO DA SERRA,0,3195,95,4,471,8,2918
SAO MIGUEL DAS MISSOES,1,7411,2,18,518,9,7227
SAO NICOLAU,0,5700,95,3,473,12,5276
SAO PAULO DAS MISSOES,0,6287,47,58,577,6,5972
SAO PEDRO DA SERRA,0,3297,71,64,840,1,3575
SAO PEDRO DAS MISSOES,0,1882,14,87,437,13,1765
SAO PEDRO DO BUTIA,0,2867,59,26,905,2,3108
SAO PEDRO DO SUL,0,16293,53,44,607,6,15946
SAO SEBASTIAO DO CAI,2,21825,45,16,768,3,24808
SAO SEPE,1,23611,98,25,644,7,21771
SAO VALENTIM,1,3624,14,27,824,8,3327
SAO VALENTIM DO SUL,0,2163,33,56,942,5,2238
SAO VALERIO DO SUL,0,2643,65,5,514,11,2577
SAO VENDELINO,0,1943,71,5,814,1,2262
SAO VICENTE DO SUL,0,8368,4,1,605,7,8281
SAPIRANGA,3,74795,76,28,706,3,77812
SAPUCAIA DO SUL,25,130597,93,25,717,3,136695
SARANDI,3,21090,66,93,989,4,23224
SEBERI,0,10826,68,34,624,8,12227
SEDE NOVA,0,2995,68,5,843,8,2749
SEGREDO,2,7121,14,31,513,9,6174
SELBACH,0,4907,58,61,1053,3,5194
SENADOR SALGADO FILHO,1,2810,68,72,614,5,2713
SENTINELA DO SUL,3,5173,10,69,512,7,5420
SERAFINA CORREA,4,14221,51,42,871,3,17160
SERIO,1,2276,29,98,605,11,2086
SERTAO,0,6285,13,33,820,5,5677
SERTAO SANTANA,0,5816,55,25,728,7,5987
SETE DE SETEMBRO,0,2120,47,4,541,4,1871
SEVERIANO DE ALMEIDA,0,3821,67,12,789,6,3473
SILVEIRA MARTINS,0,2435,5,47,795,5,2065
SINIMBU,0,10024,44,50,594,7,8788
SOBRADINHO,2,14085,50,39,765,6,14504
SOLEDADE,13,29720,98,38,729,8,30944
TABAI,0,4118,13,77,594,7,4527
TAPEJARA,7,19206,14,58,917,3,24821
TAPERA,1,10385,48,22,798,4,10811
TAPES,4,16575,73,32,612,6,15098
TAQUARA,6,54120,31,54,852,4,54579
TAQUARI,5,25879,59,38,766,5,26058
TAQUARUCU DO SUL,0,2956,80,40,951,8,3161
TAVARES,1,5343,36,81,573,14,5315
TENENTE PORTELA,7,13675,66,52,651,7,14747
TERRA DE AREIA,2,9841,17,50,615,8,10526
TEUTONIA,1,27144,29,59,854,1,33494
